Start;Ende;Datum_Start;Datum_Ende;Zeit_Start;Zeit_Ende;Dauer_h;Strombezug_kWh;Durchschnittliche_Ladeleistung_kW
01.01.2022 17:00;01.01.2022 21:45;01.01.2022;01.01.2022;17:00;21:45;4.75; 46.73 ; 9.84 
03.01.2022 08:00;03.01.2022 17:30;03.01.2022;03.01.2022;8:00;17:30;9.5; 11.23 ; 1.18 
03.01.2022 11:15;03.01.2022 16:45;03.01.2022;03.01.2022;11:15;16:45;5.5; 45.74 ; 8.32 
05.01.2022 10:30;05.01.2022 18:15;05.01.2022;05.01.2022;10:30;18:15;7.75; 59.19 ; 7.64 
07.01.2022 10:30;07.01.2022 17:15;07.01.2022;07.01.2022;10:30;17:15;6.75; 69.81 ; 10.34 
09.01.2022 10:45;09.01.2022 12:30;09.01.2022;09.01.2022;10:45;12:30;1.75; 4.26 ; 2.43 
10.01.2022 08:00;10.01.2022 14:00;10.01.2022;10.01.2022;8:00;14:00;6; 6.78 ; 1.13 
10.01.2022 08:00;10.01.2022 12:15;10.01.2022;10.01.2022;8:00;12:15;4.25; 10.97 ; 2.58 
10.01.2022 08:15;10.01.2022 18:15;10.01.2022;10.01.2022;8:15;18:15;10; 11.37 ; 1.14 
10.01.2022 10:15;10.01.2022 18:30;10.01.2022;10.01.2022;10:15;18:30;8.25; 48.52 ; 5.88 
11.01.2022 08:30;11.01.2022 18:30;11.01.2022;11.01.2022;8:30;18:30;10; 27.93 ; 2.79 
11.01.2022 17:15;11.01.2022 21:15;11.01.2022;11.01.2022;17:15;21:15;4; 38.34 ; 9.59 
12.01.2022 07:45;12.01.2022 18:00;12.01.2022;12.01.2022;7:45;18:00;10.25; 13.19 ; 1.29 
12.01.2022 10:15;12.01.2022 11:00;12.01.2022;12.01.2022;10:15;11:00;0.75; 9.65 ; 12.86 
13.01.2022 06:45;13.01.2022 13:00;13.01.2022;13.01.2022;6:45;13:00;6.25; 11.68 ; 1.87 
13.01.2022 07:30;13.01.2022 10:15;13.01.2022;13.01.2022;7:30;10:15;2.75; 8.00 ; 2.91 
13.01.2022 08:00;13.01.2022 12:30;13.01.2022;13.01.2022;8:00;12:30;4.5; 6.12 ; 1.36 
