timestamp;PV-Erzeugung_kW;Licht_und_Kraft_kW;Verbrauch_Mobilitaet_kW;Netzbezug_kW;Einspeisung_kW;Verbrauch_Haustechnik_kW;Available_Power_kW;Mobilitaet_aus_PV_Strom_kW;Stromverbrauch_Gesamt
01.01.2022 00:00;0;28.25;0.1;73.5;0;38.35;28.15;0;66.7
01.01.2022 00:15;0;28.45;0;72.9;0;38.1;28.45;0;66.55
01.01.2022 00:30;0;28.15;0.1;72.6;0;37.8;28.05;0;66.05
01.01.2022 00:45;0;34.65;0.1;88.5;0;42.2;34.55;0;76.95
01.01.2022 01:00;0;35.05;0.1;78.9;0;40.3;34.95;0;75.45
01.01.2022 01:15;0;33.65;0.1;78;0;37.8;33.55;0;71.55
01.01.2022 01:30;0;31.4;0;75.9;0;38.3;31.4;0;69.7
01.01.2022 01:45;0;28.7;0.1;75.9;0;38.2;28.6;0;67
01.01.2022 02:00;0;28.25;0.1;77.7;0;44.65;28.15;0;73
01.01.2022 02:15;0;28.2;0.1;72.6;0;38.05;28.1;0;66.35
01.01.2022 02:30;0;28.15;0.1;72.6;0;37.75;28.05;0;66
01.01.2022 02:45;0;28.25;0.1;72.6;0;37.7;28.15;0;66.05
01.01.2022 03:00;0;28.25;0;76.5;0;37.65;28.25;0;65.9
01.01.2022 03:15;0;28.35;0.1;76.8;0;44.65;28.25;0;73.1
01.01.2022 03:30;0;28.1;0.1;72.3;0;38;28;0;66.2
01.01.2022 03:45;0;28.15;0.1;72.6;0;37.9;28.05;0;66.15
01.01.2022 04:00;0;28.1;0.1;72.6;0;37.8;28;0;66
01.01.2022 04:15;0;28.2;0.1;78.6;0;37.65;28.1;0;65.95
01.01.2022 04:30;0;28.2;0;75.3;0;44.7;28.2;0;72.9
01.01.2022 04:45;0;28.05;0.1;72.6;0;37.9;27.95;0;66.05
01.01.2022 05:00;0;28.15;0.1;72.9;0;37.9;28.05;0;66.15
01.01.2022 05:15;0;28.15;0.1;74.4;0;38.7;28.05;0;66.95
01.01.2022 05:30;0;28.35;0.1;80.1;0;39.55;28.25;0;68
01.01.2022 05:45;0;28.15;0.1;77.4;0;46.35;28.05;0;74.6
01.01.2022 06:00;0;28.1;0;77.4;0;39.7;28.1;0;67.8
01.01.2022 06:15;0;28.2;0.1;86.7;0;46.4;28.1;0;74.7
